,Selling Price,MRP,Discount,Rating,Discount_Amount,Discount_Computed_%,Gender,Color,Fit,Product_Type,Print_Type,Category
209,699,1699.0,58.0,4.3,1000.0,58.9,Men,Brown,Oversized,T-Shirt,Graphic,Topwear
210,499,1149.0,56.0,4.3,650.0,56.6,Men,Blue,Unknown,T-Shirt,Graphic,Topwear
211,699,1449.0,51.0,4.3,750.0,51.8,Men,Green,Oversized,T-Shirt,Graphic,Topwear
212,499,1149.0,56.0,4.3,650.0,56.6,Men,Blue,Unknown,T-Shirt,Graphic,Topwear
213,399,999.0,60.0,4.3,600.0,60.1,Men,Blue,Unknown,T-Shirt,Solid,Topwear
214,599,1349.0,55.0,4.3,750.0,55.6,Men,Black,Oversized,T-Shirt,Solid,Topwear
215,799,1699.0,52.0,4.3,900.0,53.0,Men,White,Oversized,T-Shirt,Solid,Topwear
216,649,1099.0,40.0,4.3,450.0,40.9,Men,Black,Oversized,T-Shirt,Printed,Topwear
217,699,1299.0,46.0,4.3,600.0,46.2,Men,Black,Oversized,T-Shirt,Graphic,Topwear
218,399,699.0,42.0,4.3,300.0,42.9,Men,Green,Unknown,T-Shirt,Solid,Topwear
219,499,1499.0,66.0,4.3,1000.0,66.7,Men,Grey,Unknown,T-Shirt,Graphic,Topwear
220,599,1299.0,53.0,4.3,700.0,53.9,Men,Grey,Unknown,Pyjamas,Solid,Loungewear
221,999,2499.0,60.0,4.3,1500.0,60.0,Men,Grey,Oversized,Joggers,Solid,Bottomwear
222,999,2499.0,60.0,4.3,1500.0,60.0,Men,Blue,Oversized,Joggers,Solid,Bottomwear
223,899,2049.0,56.0,4.3,1150.0,56.1,Men,Black,Super Loose,Joggers,Solid,Bottomwear
224,1699,3999.0,57.0,4.3,2300.0,57.5,Men,Blue,Unknown,Jeans,Solid,Bottomwear
225,1499,2999.0,50.0,4.3,1500.0,50.0,Men,Black,Baggy,Jeans,Solid,Bottomwear
226,1499,3699.0,59.0,4.3,2200.0,59.5,Men,Black,Unknown,Jeans,Solid,Bottomwear
227,899,2499.0,64.0,4.3,1600.0,64.0,Men,Black,Oversized,Joggers,Solid,Bottomwear
228,1499,3799.0,60.0,4.3,2300.0,60.5,Men,Green,Unknown,Jeans,Solid,Bottomwear
229,899,2199.0,59.0,4.3,1300.0,59.1,Men,Black,Oversized,Joggers,Solid,Bottomwear
230,599,1199.0,50.0,4.3,600.0,50.0,Men,Black,Unknown,Pyjamas,Solid,Loungewear
231,899,2199.0,59.0,4.3,1300.0,59.1,Men,Green,Oversized,Joggers,Solid,Bottomwear
232,899,1799.0,50.0,4.3,900.0,50.0,Men,Black,Oversized,Joggers,Solid,Bottomwear
233,899,1899.0,52.0,4.3,1000.0,52.7,Men,Brown,Oversized,Joggers,Solid,Bottomwear
234,1199,2999.0,60.0,4.3,1800.0,60.0,Men,Black,Baggy,Jeans,Solid,Bottomwear
235,999,2399.0,58.0,4.3,1400.0,58.4,Men,Grey,Oversized,Joggers,Solid,Bottomwear
236,999,2399.0,58.0,4.3,1400.0,58.4,Men,Green,Oversized,Joggers,Solid,Bottomwear
237,1499,3699.0,59.0,4.3,2200.0,59.5,Men,Black,Unknown,Jeans,Solid,Bottomwear
238,1049,2549.0,58.0,4.3,1500.0,58.8,Men,Black,Unknown,Pants,Solid,Bottomwear
239,999,2499.0,60.0,4.3,1500.0,60.0,Men,Grey,Oversized,Joggers,Solid,Bottomwear
240,999,2499.0,60.0,4.3,1500.0,60.0,Men,Blue,Oversized,Joggers,Solid,Bottomwear
241,899,2049.0,56.0,4.3,1150.0,56.1,Men,Black,Super Loose,Joggers,Solid,Bottomwear
242,899,2499.0,64.0,4.3,1600.0,64.0,Men,Black,Oversized,Joggers,Solid,Bottomwear
243,899,2199.0,59.0,4.3,1300.0,59.1,Men,Black,Oversized,Joggers,Solid,Bottomwear
244,899,2199.0,59.0,4.3,1300.0,59.1,Men,Green,Oversized,Joggers,Solid,Bottomwear
245,899,1799.0,50.0,4.3,900.0,50.0,Men,Black,Oversized,Joggers,Solid,Bottomwear
246,899,1899.0,52.0,4.3,1000.0,52.7,Men,Brown,Oversized,Joggers,Solid,Bottomwear
247,999,2399.0,58.0,4.3,1400.0,58.4,Men,Grey,Oversized,Joggers,Solid,Bottomwear
248,999,2399.0,58.0,4.3,1400.0,58.4,Men,Green,Oversized,Joggers,Solid,Bottomwear
249,1049,2549.0,58.0,4.3,1500.0,58.8,Men,Black,Unknown,Pants,Solid,Bottomwear
250,899,2549.0,64.0,4.3,1650.0,64.7,Men,Beige,Unknown,Pants,Solid,Bottomwear
251,899,1899.0,52.0,4.3,1000.0,52.7,Men,Grey,Oversized,Joggers,Solid,Bottomwear
252,899,2499.0,64.0,4.3,1600.0,64.0,Men,Brown,Oversized,Joggers,Solid,Bottomwear
